turker    	 adjective     	 response 	 mean  	 onestdev 	 respdev          	 had_negative     logrespdev
T_7294921 	 relative      	 2800     	 2580  	 380      	 0.578947368421   	 noNeg            -0.54654370636816
T_8960927 	 relative      	 2600     	 2130  	 485      	 0.969072164948   	 noNeg            -0.0314161962338468
T_6084074 	 relative      	 6300     	 6070  	 445      	 0.516853932584   	 noNeg            -0.659994973243566
T_4267653 	 relative      	 920      	 880   	 390      	 0.102564102564   	 noNeg            -2.27726728501075
T_8678864 	 relative      	 8600     	 8460  	 470      	 0.297872340426   	 noNeg            -1.21109027209323
T_2818415 	 relative      	 9638     	 9510  	 95       	 1.34736842105    	 noNeg            0.298153372317123
T_287849  	 relative      	 10520    	 10150 	 495      	 0.747474747475   	 noNeg            -0.291054756930082
T_330915  	 little        	 5400     	 5340  	 490      	 0.122448979592   	 noNeg            -2.10006082888124
T_6468097 	 little        	 1900     	 1870  	 55       	 0.545454545455   	 noNeg            -0.606135803569482
T_3983240 	 little        	 2770     	 2740  	 60       	 0.5              	 noNeg            -0.693147180559945
T_6605231 	 little        	 525      	 510   	 30       	 0.5              	 noNeg            -0.693147180559945
T_2032567 	 little        	 5892     	 5890  	 10       	 0.2              	 noNeg            -1.6094379124341
T_5896210 	 little        	 9500     	 9450  	 310      	 0.161290322581   	 noNeg            -1.82454929204884
T_3567432 	 little        	 6750     	 6730  	 345      	 0.0579710144928  	 noNeg            -2.84781214347657
T_5429916 	 little        	 5140     	 5120  	 385      	 0.0519480519481  	 noNeg            -2.95751106073286
T_9040925 	 little        	 2000     	 1830  	 325      	 0.523076923077   	 noNeg            -0.648026745279328
T_2187949 	 little        	 4700     	 4640  	 140      	 0.428571428571   	 noNeg            -0.847297860388203
T_6987667 	 little        	 1850     	 1770  	 440      	 0.181818181818   	 noNeg            -1.70474809223942
T_94744   	 little        	 3470     	 3460  	 235      	 0.0425531914894  	 noNeg            -3.15700042114921
T_3985992 	 little        	 1700     	 1600  	 330      	 0.30303030303    	 noNeg            -1.19392246847343
T_6453084 	 little        	 3400     	 3340  	 435      	 0.137931034483   	 noNeg            -1.98100146886483
T_3757827 	 little        	 2890     	 2880  	 105      	 0.0952380952381  	 noNeg            -2.35137525716343
T_1771975 	 little        	 7030     	 6950  	 335      	 0.238805970149   	 noNeg            -1.43210389715225
T_8894480 	 little        	 3850     	 3700  	 270      	 0.555555555556   	 noNeg            -0.587786664901319
T_5826734 	 little        	 3920     	 3870  	 110      	 0.454545454545   	 noNeg            -0.78845736036527
T_2257827 	 little        	 8090     	 8060  	 365      	 0.0821917808219  	 noNeg            -2.49869997192055
T_9289161 	 little        	 7390     	 7370  	 120      	 0.166666666667   	 noNeg            -1.79175946922605
T_7332968 	 little        	 3020     	 2980  	 410      	 0.0975609756098  	 noNeg            -2.32727770558397
T_1562652 	 little        	 3900     	 3870  	 395      	 0.0759493670886  	 noNeg            -2.57768838323906
T_5659439 	 little        	 2210     	 2200  	 70       	 0.142857142857   	 noNeg            -1.94591014905631
T_4286557 	 little        	 1330     	 1320  	 405      	 0.0246913580247  	 noNeg            -3.70130197411213
T_7308371 	 little        	 2150     	 2130  	 450      	 0.0444444444444  	 noNeg            -3.11351530921137
T_4394973 	 little        	 9545     	 9540  	 10       	 0.5              	 noNeg            -0.693147180559945
T_5696457 	 little        	 2600     	 2590  	 275      	 0.0363636363636  	 noNeg            -3.31418600467352
T_901679  	 little        	 2200     	 2040  	 435      	 0.367816091954   	 noNeg            -1.00017221585492
T_4189793 	 little        	 7312     	 7310  	 5        	 0.4              	 noNeg            -0.916290731874154
T_2905681 	 little        	 4200     	 4140  	 350      	 0.171428571429   	 noNeg            -1.76358859225886
T_914035  	 little        	 8650     	 8610  	 225      	 0.177777777778   	 noNeg            -1.72722094808923
T_7294921 	 little        	 610      	 590   	 165      	 0.121212121212   	 noNeg            -2.11021320034759
T_6084074 	 little        	 2400     	 2340  	 180      	 0.333333333333   	 noNeg            -1.09861228866911
T_4267653 	 little        	 3780     	 3700  	 480      	 0.166666666667   	 noNeg            -1.79175946922605
T_8678864 	 little        	 9600     	 9530  	 270      	 0.259259259259   	 noNeg            -1.34992671695001
T_2818415 	 little        	 3593     	 3550  	 290      	 0.148275862069   	 noNeg            -1.90868080728672
T_287849  	 little        	 4255     	 4250  	 225      	 0.0222222222222  	 noNeg            -3.80666248977131
T_330915  	 big           	 7650     	 7480  	 90       	 1.88888888889    	 noNeg            0.635988766720585
T_6468097 	 big           	 4350     	 4200  	 115      	 1.30434782609    	 noNeg            0.265703165735339
T_3983240 	 big           	 1990     	 1760  	 115      	 2                	 noNeg            0.693147180559945
T_6605231 	 big           	 1275     	 950   	 165      	 1.9696969697     	 noNeg            0.677879708430695
T_2032567 	 big           	 1777     	 1420  	 215      	 1.66046511628    	 noNeg            0.507097753652537
T_5896210 	 big           	 9980     	 9880  	 70       	 1.42857142857    	 noNeg            0.356674943937733
T_5429916 	 big           	 10100    	 9350  	 440      	 1.70454545455    	 noNeg            0.533298479620716
T_2187949 	 big           	 5100     	 4700  	 295      	 1.35593220339    	 noNeg            0.304489190768287
T_6987667 	 big           	 2300     	 1860  	 495      	 0.888888888889   	 noNeg            -0.117783035656258
T_94744   	 big           	 2400     	 1660  	 375      	 1.97333333333    	 noNeg            0.679724160226116
T_3985992 	 big           	 4350     	 3540  	 455      	 1.78021978022    	 noNeg            0.576736828715658
T_6453084 	 big           	 5300     	 4970  	 335      	 0.985074626866   	 noNeg            -0.015037877364207
T_3757827 	 big           	 3000     	 2600  	 305      	 1.31147540984    	 noNeg            0.271152770503571
T_8894480 	 big           	 4125     	 3360  	 495      	 1.54545454545    	 noNeg            0.435318071254904
T_5826734 	 big           	 6250     	 5630  	 420      	 1.47619047619    	 noNeg            0.389464766761401
T_2257827 	 big           	 3960     	 3560  	 460      	 0.869565217391   	 noNeg            -0.139761942375508
T_9289161 	 big           	 1800     	 1740  	 65       	 0.923076923077   	 noNeg            -0.0800427076734529
T_7332968 	 big           	 7760     	 7460  	 365      	 0.821917808219   	 noNeg            -0.196114878926507
T_1562652 	 big           	 2900     	 2660  	 85       	 2.82352941176    	 noNeg            1.03798766685001
T_5659439 	 big           	 550      	 410   	 95       	 1.47368421053    	 noNeg            0.387765531011264
T_4286557 	 big           	 4400     	 4100  	 200      	 1.5              	 noNeg            0.405465108108165
T_7308371 	 big           	 11300    	 10600 	 480      	 1.45833333333    	 noNeg            0.377294231139182
T_776234  	 big           	 10400    	 9970  	 385      	 1.11688311688    	 noNeg            0.110541874397033
T_4394973 	 big           	 3410     	 3190  	 140      	 1.57142857143    	 noNeg            0.451985123743966
T_5696457 	 big           	 1500     	 1230  	 270      	 1                	 noNeg            2.22044604925031e-16
T_901679  	 big           	 6500     	 6210  	 180      	 1.61111111111    	 noNeg            0.47692407208962
T_2905681 	 big           	 8000     	 7810  	 75       	 2.53333333333    	 noNeg            0.92953595862286
T_914035  	 big           	 7500     	 7130  	 315      	 1.1746031746     	 noNeg            0.160930366809935
T_7294921 	 big           	 8300     	 7660  	 440      	 1.45454545455    	 noNeg            0.374693449444536
T_8960927 	 big           	 3350     	 2410  	 470      	 2                	 noNeg            0.693147180559945
T_6084074 	 big           	 3940     	 3890  	 30       	 1.66666666667    	 noNeg            0.510825623767991
T_4267653 	 big           	 9900     	 9140  	 490      	 1.55102040816    	 noNeg            0.438913042173599
T_8678864 	 big           	 9100     	 8910  	 140      	 1.35714285714    	 noNeg            0.305381649549077
T_287849  	 big           	 3880     	 3810  	 40       	 1.75             	 noNeg            0.559615787935423
T_330915  	 favorable     	 10200    	 9780  	 315      	 1.33333333333    	 noNeg            0.287682072449281
T_6468097 	 favorable     	 4200     	 3780  	 240      	 1.75             	 noNeg            0.559615787935423
T_3983240 	 favorable     	 4600     	 4190  	 475      	 0.863157894737   	 noNeg            -0.147157644336105
T_6605231 	 favorable     	 2675     	 2400  	 145      	 1.89655172414    	 noNeg            0.640037355247088
T_2032567 	 favorable     	 6990     	 6700  	 340      	 0.852941176471   	 noNeg            -0.159064694629204
T_5896210 	 favorable     	 4750     	 4500  	 460      	 0.54347826087    	 noNeg            -0.609765571620094
T_3567432 	 favorable     	 660      	 650   	 5        	 2                	 noNeg            0.693147180559945
T_5429916 	 favorable     	 6875     	 6820  	 355      	 0.154929577465   	 noNeg            -1.86478460424158
T_2187949 	 favorable     	 6800     	 6270  	 400      	 1.325            	 noNeg            0.281412459438186
T_6987667 	 favorable     	 6500     	 5870  	 460      	 1.36956521739    	 noNeg            0.314493329901485
T_94744   	 favorable     	 5500     	 5110  	 300      	 1.3              	 noNeg            0.262364264467491
T_3985992 	 favorable     	 4777     	 4600  	 100      	 1.77             	 noNeg            0.570979546585738
T_6453084 	 favorable     	 8100     	 7820  	 365      	 0.767123287671   	 noNeg            -0.265107750413545
T_3757827 	 favorable     	 3300     	 2890  	 420      	 0.97619047619    	 noNeg            -0.0240975515795481
T_1771975 	 favorable     	 8200     	 8100  	 410      	 0.243902439024   	 noNeg            -1.41098697371186
T_8894480 	 favorable     	 1540     	 1220  	 360      	 0.888888888889   	 noNeg            -0.117783035656258
T_5826734 	 favorable     	 5705     	 5680  	 180      	 0.138888888889   	 noNeg            -1.97408102602121
T_2257827 	 favorable     	 10100    	 9810  	 335      	 0.865671641791   	 noNeg            -0.144249608844598
T_9289161 	 favorable     	 7800     	 7300  	 395      	 1.26582278481    	 noNeg            0.23572233352097
T_7332968 	 favorable     	 1300     	 1090  	 310      	 0.677419354839   	 noNeg            -0.389464766761294
T_1562652 	 favorable     	 10300    	 10170 	 150      	 0.866666666667   	 noNeg            -0.143100843640288
T_5659439 	 favorable     	 5700     	 5490  	 175      	 1.2              	 noNeg            0.182321556793955
T_4286557 	 favorable     	 5900     	 5850  	 45       	 1.11111111111    	 noNeg            0.105360515656827
T_7308371 	 favorable     	 4350     	 4270  	 160      	 0.5              	 noNeg            -0.693147180559945
T_776234  	 favorable     	 3090     	 3080  	 5        	 2                	 noNeg            0.693147180559945
T_4394973 	 favorable     	 6415     	 5830  	 460      	 1.27173913043    	 noNeg            0.240385357744955
T_5696457 	 favorable     	 2100     	 2020  	 420      	 0.190476190476   	 noNeg            -1.65822807660453
T_901679  	 favorable     	 3400     	 2830  	 390      	 1.46153846154    	 noNeg            0.379489621705957
T_4189793 	 favorable     	 8300     	 8090  	 200      	 1.05             	 noNeg            0.0487901641694323
T_2905681 	 favorable     	 5970     	 5770  	 260      	 0.769230769231   	 noNeg            -0.262364264467191
T_914035  	 favorable     	 9800     	 9500  	 300      	 1                	 noNeg            2.22044604925031e-16
T_7294921 	 favorable     	 4700     	 4470  	 150      	 1.53333333333    	 noNeg            0.427444014824766
T_8960927 	 favorable     	 7280     	 7060  	 110      	 2                	 noNeg            0.693147180559945
T_6084074 	 favorable     	 645      	 550   	 105      	 0.904761904762   	 noNeg            -0.100083458556877
T_4267653 	 favorable     	 8590     	 8570  	 50       	 0.4              	 noNeg            -0.916290731874154
T_8678864 	 favorable     	 7200     	 6840  	 350      	 1.02857142857    	 noNeg            0.0281708769653077
T_2818415 	 favorable     	 6784     	 6520  	 360      	 0.733333333333   	 noNeg            -0.310154928304294
T_287849  	 favorable     	 8925     	 8760  	 265      	 0.622641509434   	 noNeg            -0.473784352085581
T_330915  	 legitimate    	 5875     	 5770  	 105      	 1                	 noNeg            2.22044604925031e-16
T_6468097 	 legitimate    	 5900     	 5510  	 455      	 0.857142857143   	 noNeg            -0.154150679827091
T_6605231 	 legitimate    	 3670     	 3390  	 250      	 1.12             	 noNeg            0.113328685307003
T_2032567 	 legitimate    	 2500     	 2220  	 485      	 0.577319587629   	 noNeg            -0.549359287768001
T_5896210 	 legitimate    	 6320     	 6280  	 445      	 0.0898876404494  	 noNeg            -2.40919482805273
T_3567432 	 legitimate    	 3665     	 3360  	 165      	 1.84848484848    	 noNeg            0.614366302704208
T_5429916 	 legitimate    	 6520     	 6300  	 160      	 1.375            	 noNeg            0.318453731118535
T_9040925 	 legitimate    	 8700     	 8590  	 80       	 1.375            	 noNeg            0.318453731118535
T_2187949 	 legitimate    	 2555     	 1820  	 480      	 1.53125          	 noNeg            0.4260843953109
T_6987667 	 legitimate    	 3500     	 3360  	 175      	 0.8              	 noNeg            -0.223143551314209
T_94744   	 legitimate    	 10800    	 10340 	 250      	 1.84             	 noNeg            0.609765571620894
T_3985992 	 legitimate    	 8000     	 7790  	 275      	 0.763636363636   	 noNeg            -0.269663566949579
T_6453084 	 legitimate    	 6060     	 6040  	 15       	 1.33333333333    	 noNeg            0.287682072449281
T_3757827 	 legitimate    	 8400     	 8030  	 360      	 1.02777777778    	 noNeg            0.0273989741902767
T_1771975 	 legitimate    	 4380     	 4220  	 280      	 0.571428571429   	 noNeg            -0.559615787934672
T_8894480 	 legitimate    	 6610     	 6500  	 120      	 0.916666666667   	 noNeg            -0.0870113769892659
T_5826734 	 legitimate    	 1590     	 1460  	 365      	 0.356164383562   	 noNeg            -1.03236290312591
T_2257827 	 legitimate    	 2350     	 2280  	 105      	 0.666666666667   	 noNeg            -0.405465108107664
T_9289161 	 legitimate    	 9800     	 9680  	 95       	 1.26315789474    	 noNeg            0.233614851184005
T_7332968 	 legitimate    	 9560     	 9360  	 165      	 1.21212121212    	 noNeg            0.192371892646456
T_1562652 	 legitimate    	 6400     	 6190  	 250      	 0.84             	 noNeg            -0.174353387144778
T_5659439 	 legitimate    	 1650     	 1610  	 35       	 1.14285714286    	 noNeg            0.133531392627023
T_4286557 	 legitimate    	 4645     	 4640  	 25       	 0.2              	 noNeg            -1.6094379124341
T_7308371 	 legitimate    	 5000     	 4730  	 265      	 1.01886792453    	 noNeg            0.0186921330138195
T_776234  	 legitimate    	 7900     	 7790  	 145      	 0.758620689655   	 noNeg            -0.276253376628385
T_4394973 	 legitimate    	 3105     	 2540  	 465      	 1.21505376344    	 noNeg            0.194788325558377
T_5696457 	 legitimate    	 7000     	 6610  	 490      	 0.795918367347   	 noNeg            -0.228258651980903
T_901679  	 legitimate    	 6500     	 6050  	 335      	 1.34328358209    	 noNeg            0.295117050939632
T_4189793 	 legitimate    	 7500     	 7040  	 435      	 1.05747126437    	 noNeg            0.055880458396522
T_2905681 	 legitimate    	 7400     	 7170  	 135      	 1.7037037037     	 noNeg            0.532804530482592
T_914035  	 legitimate    	 3900     	 3770  	 190      	 0.684210526316   	 noNeg            -0.379489621704596
T_7294921 	 legitimate    	 2450     	 2370  	 100      	 0.8              	 noNeg            -0.223143551314209
T_8960927 	 legitimate    	 250      	 230   	 35       	 0.571428571429   	 noNeg            -0.559615787934672
T_6084074 	 legitimate    	 5750     	 5690  	 55       	 1.09090909091    	 noNeg            0.0870113769904634
T_8678864 	 legitimate    	 7300     	 7150  	 370      	 0.405405405405   	 noNeg            -0.902867711543014
T_2818415 	 legitimate    	 9903     	 9710  	 370      	 0.521621621622   	 noNeg            -0.650812816732659
T_287849  	 legitimate    	 4625     	 4480  	 345      	 0.420289855072   	 noNeg            -0.866810674611888
T_6468097 	 sizable       	 6000     	 5810  	 105      	 1.80952380952    	 noNeg            0.593063722000858
T_6605231 	 sizable       	 6104     	 5600  	 420      	 1.2              	 noNeg            0.182321556793955
T_2032567 	 sizable       	 7400     	 7120  	 285      	 0.982456140351   	 noNeg            -0.0176995770992757
T_5896210 	 sizable       	 2950     	 2760  	 155      	 1.22580645161    	 noNeg            0.203598955238871
T_3567432 	 sizable       	 7890     	 7230  	 335      	 1.97014925373    	 noNeg            0.678109303194723
T_5429916 	 sizable       	 9000     	 8620  	 390      	 0.974358974359   	 noNeg            -0.0259754864032341
T_9040925 	 sizable       	 9000     	 8760  	 155      	 1.54838709677    	 noNeg            0.437213806420036
T_2187949 	 sizable       	 5620     	 5160  	 325      	 1.41538461538    	 noNeg            0.347401307150143
T_6987667 	 sizable       	 9200     	 8930  	 230      	 1.17391304348    	 noNeg            0.160342650076661
T_94744   	 sizable       	 6700     	 6480  	 110      	 2                	 noNeg            0.693147180559945
T_3985992 	 sizable       	 6000     	 5480  	 425      	 1.22352941176    	 noNeg            0.20173964264721
T_6453084 	 sizable       	 9500     	 9380  	 115      	 1.04347826087    	 noNeg            0.0425596144192128
T_3757827 	 sizable       	 10000    	 9520  	 375      	 1.28             	 noNeg            0.246860077931526
T_1771975 	 sizable       	 10400    	 10160 	 225      	 1.06666666667    	 noNeg            0.0645385211406964
T_8894480 	 sizable       	 2600     	 2310  	 155      	 1.87096774194    	 noNeg            0.626455806063687
T_5826734 	 sizable       	 3980     	 3880  	 95       	 1.05263157895    	 noNeg            0.0512932943900508
T_2257827 	 sizable       	 1050     	 910   	 130      	 1.07692307692    	 noNeg            0.0741079721508649
T_9289161 	 sizable       	 5550     	 5390  	 80       	 2                	 noNeg            0.693147180559945
T_1562652 	 sizable       	 9800     	 9590  	 330      	 0.636363636364   	 noNeg            -0.451985123742486
T_5659439 	 sizable       	 5500     	 4490  	 395      	 2.55696202532    	 noNeg            0.938819844935569
T_4286557 	 sizable       	 5920     	 5890  	 35       	 0.857142857143   	 noNeg            -0.154150679827091
T_7308371 	 sizable       	 4320     	 4120  	 125      	 1.6              	 noNeg            0.470003629245736
T_776234  	 sizable       	 2700     	 2480  	 270      	 0.814814814815   	 noNeg            -0.204794412645786
T_4394973 	 sizable       	 3148     	 2700  	 470      	 0.953191489362   	 noNeg            -0.0479394622888063
T_5696457 	 sizable       	 7450     	 7230  	 225      	 0.977777777778   	 noNeg            -0.0224728558518311
T_901679  	 sizable       	 9900     	 9670  	 155      	 1.48387096774    	 noNeg            0.394654192002645
T_4189793 	 sizable       	 10150    	 10080 	 60       	 1.16666666667    	 noNeg            0.154150679830116
T_2905681 	 sizable       	 2600     	 2380  	 155      	 1.41935483871    	 noNeg            0.350202429433342
T_914035  	 sizable       	 1600     	 1310  	 325      	 0.892307692308   	 noNeg            -0.113944259348873
T_7294921 	 sizable       	 480      	 400   	 45       	 1.77777777778    	 noNeg            0.575364144904812
T_8960927 	 sizable       	 11210    	 10440 	 385      	 2                	 noNeg            0.693147180559945
T_6084074 	 sizable       	 3500     	 3230  	 255      	 1.05882352941    	 noNeg            0.0571584138382821
T_4267653 	 sizable       	 8500     	 8080  	 495      	 0.848484848485   	 noNeg            -0.164303051291097
T_8678864 	 sizable       	 4000     	 3370  	 450      	 1.4              	 noNeg            0.336472236621213
T_2818415 	 sizable       	 4486     	 4030  	 495      	 0.921212121212   	 noNeg            -0.0820649530544355
T_287849  	 sizable       	 2755     	 2730  	 20       	 1.25             	 noNeg            0.22314355131421
T_330915  	 tiny          	 6915     	 6910  	 385      	 0.012987012987   	 noNeg            -4.34380542185467
T_6468097 	 tiny          	 7300     	 7240  	 340      	 0.176470588235   	 noNeg            -1.73460105538977
T_6605231 	 tiny          	 1630     	 1620  	 485      	 0.020618556701   	 noNeg            -3.88156379794493
T_2032567 	 tiny          	 8452     	 8450  	 305      	 0.00655737704918 	 noNeg            -5.02716459604748
T_5896210 	 tiny          	 6600     	 6540  	 460      	 0.130434782609   	 noNeg            -2.03688192725871
T_3567432 	 tiny          	 1261     	 1260  	 225      	 0.00444444444444 	 noNeg            -5.41610040220537
T_5429916 	 tiny          	 8534     	 8530  	 95       	 0.0421052631579  	 noNeg            -3.16758253048052
T_9040925 	 tiny          	 4700     	 4650  	 385      	 0.12987012987    	 noNeg            -2.04122032886064
T_2187949 	 tiny          	 3143     	 3140  	 85       	 0.0352941176471  	 noNeg            -3.34403896782103
T_6987667 	 tiny          	 5650     	 5620  	 395      	 0.0759493670886  	 noNeg            -2.57768838323906
T_94744   	 tiny          	 3085     	 3080  	 430      	 0.0116279069767  	 noNeg            -4.45434729625729
T_3985992 	 tiny          	 1245     	 1240  	 95       	 0.0526315789474  	 noNeg            -2.94443897916584
T_6453084 	 tiny          	 4550     	 4490  	 445      	 0.134831460674   	 noNeg            -2.0037297199453
T_3757827 	 tiny          	 4742     	 4740  	 20       	 0.1              	 noNeg            -2.30258509299404
T_1771975 	 tiny          	 10235    	 10230 	 175      	 0.0285714285714  	 noNeg            -3.55534806149041
T_8894480 	 tiny          	 1110     	 1070  	 425      	 0.0941176470588  	 noNeg            -2.36320971481073
T_5826734 	 tiny          	 6829     	 6820  	 310      	 0.0290322580645  	 noNeg            -3.53934772014352
T_2257827 	 tiny          	 4005     	 4000  	 230      	 0.0217391304348  	 noNeg            -3.82864139648828
T_9289161 	 tiny          	 5200     	 5120  	 325      	 0.246153846154   	 noNeg            -1.40179854765523
T_7332968 	 tiny          	 4297     	 4290  	 290      	 0.0241379310345  	 noNeg            -3.72397077392448
T_1562652 	 tiny          	 3675     	 3650  	 290      	 0.0862068965517  	 noNeg            -2.4510050981126
T_5659439 	 tiny          	 9200     	 9160  	 145      	 0.275862068966   	 noNeg            -1.28785428830489
T_4286557 	 tiny          	 4310     	 4300  	 130      	 0.0769230769231  	 noNeg            -2.56494935746123
T_7308371 	 tiny          	 9540     	 9530  	 210      	 0.047619047619   	 noNeg            -3.04452243772442
T_776234  	 tiny          	 850      	 840   	 220      	 0.0454545454545  	 noNeg            -3.09104245335931
T_4394973 	 tiny          	 2536     	 2530  	 65       	 0.0923076923077  	 noNeg            -2.3826278006675
T_5696457 	 tiny          	 6975     	 6970  	 340      	 0.0147058823529  	 noNeg            -4.21950770517889
T_2905681 	 tiny          	 2140     	 2040  	 395      	 0.253164556962   	 noNeg            -1.37371557891313
T_914035  	 tiny          	 7900     	 7820  	 485      	 0.164948453608   	 noNeg            -1.8021222562651
T_8960927 	 tiny          	 6400     	 6390  	 315      	 0.031746031746   	 noNeg            -3.44998754583258
T_6084074 	 tiny          	 5700     	 5650  	 285      	 0.175438596491   	 noNeg            -1.7404661748418
T_4267653 	 tiny          	 5280     	 5270  	 55       	 0.181818181818   	 noNeg            -1.70474809223942
T_8678864 	 tiny          	 2800     	 2790  	 140      	 0.0714285714286  	 noNeg            -2.63905732961486
T_2818415 	 tiny          	 6096     	 6090  	 360      	 0.0166666666667  	 noNeg            -4.09434456222009
T_287849  	 tiny          	 9950     	 9920  	 315      	 0.0952380952381  	 noNeg            -2.35137525716343
T_330915  	 extraordinary 	 9000     	 8360  	 370      	 1.72972972973    	 noNeg            0.547965170715604
T_6468097 	 extraordinary 	 8950     	 8840  	 55       	 2                	 noNeg            0.693147180559945
T_6605231 	 extraordinary 	 5820     	 4590  	 485      	 2.53608247423    	 noNeg            0.93062055743024
T_3567432 	 extraordinary 	 2600     	 1600  	 460      	 2.17391304348    	 noNeg            0.776528789499796
T_5429916 	 extraordinary 	 7350     	 6980  	 170      	 2.17647058824    	 noNeg            0.77770456859017
T_9040925 	 extraordinary 	 4400     	 3840  	 375      	 1.49333333333    	 noNeg            0.401010757756552
T_2187949 	 extraordinary 	 8725     	 8310  	 220      	 1.88636363636    	 noNeg            0.634650973876409
T_94744   	 extraordinary 	 11100    	 10440 	 365      	 1.80821917808    	 noNeg            0.592342481436768
T_3985992 	 extraordinary 	 4200     	 3670  	 270      	 1.96296296296    	 noNeg            0.674455047546283
T_6453084 	 extraordinary 	 1300     	 800   	 350      	 1.42857142857    	 noNeg            0.356674943937733
T_3757827 	 extraordinary 	 1100     	 710   	 210      	 1.85714285714    	 noNeg            0.619039208404685
T_1771975 	 extraordinary 	 4560     	 3990  	 215      	 2.6511627907     	 noNeg            0.97499833270181
T_8894480 	 extraordinary 	 6290     	 5330  	 420      	 2.28571428571    	 noNeg            0.826678573182593
T_5826734 	 extraordinary 	 5220     	 4870  	 230      	 1.52173913043    	 noNeg            0.419853845557121
T_2257827 	 extraordinary 	 4200     	 3250  	 485      	 1.9587628866     	 noNeg            0.672313093658156
T_9289161 	 extraordinary 	 8000     	 7840  	 80       	 2                	 noNeg            0.693147180559945
T_7332968 	 extraordinary 	 8500     	 7970  	 175      	 3.02857142857    	 noNeg            1.10809103262218
T_1562652 	 extraordinary 	 5500     	 4750  	 265      	 2.83018867925    	 noNeg            1.0403433805458
T_4286557 	 extraordinary 	 8340     	 7880  	 230      	 2                	 noNeg            0.693147180559945
T_7308371 	 extraordinary 	 8140     	 7710  	 215      	 2                	 noNeg            0.693147180559945
T_776234  	 extraordinary 	 5050     	 4420  	 315      	 2                	 noNeg            0.693147180559945
T_5696457 	 extraordinary 	 4050     	 3880  	 90       	 1.88888888889    	 noNeg            0.635988766720585
T_901679  	 extraordinary 	 5400     	 5140  	 150      	 1.73333333333    	 noNeg            0.550046336917349
T_2905681 	 extraordinary 	 4900     	 4120  	 340      	 2.29411764706    	 noNeg            0.830348302073943
T_914035  	 extraordinary 	 7250     	 6570  	 340      	 2                	 noNeg            0.693147180559945
T_6084074 	 extraordinary 	 5200     	 4890  	 290      	 1.06896551724    	 noNeg            0.0666913744973822
T_4267653 	 extraordinary 	 8400     	 7380  	 425      	 2.4              	 noNeg            0.8754687373539
T_8678864 	 extraordinary 	 3600     	 3260  	 140      	 2.42857142857    	 noNeg            0.887303195000315
